Date,AAPL,AMZN,GOOGL,MSFT,NVDA
2020-01-03,-0.009721606806411542,-0.012139034655920922,-0.00523150297651187,-0.012451482623490495,-0.016005834171930244
2020-01-06,0.00796824036538113,0.01488557393050649,0.026654060617353537,0.002584363253906208,0.004193610744354315
2020-01-07,-0.004703291617288774,0.0020916204156395946,-0.00193157155300272,-0.00911752167116664,0.012106718759596014
2020-01-08,0.016086292974628602,-0.007808640261289468,0.007117689430620189,0.015928230104232943,0.001875432671463395
2020-01-09,0.021240794588172296,0.0047991747864684076,0.010498253724031903,0.012493109379642986,0.01098263935576771
2020-01-10,0.00226061707326064,-0.009410596802031157,0.006458449980678571,-0.004626959655991025,0.005349300117908573
2020-01-13,0.021364693152034375,0.00432257824569926,0.007746924812028544,0.012024325191252405,0.03135235757823418
2020-01-14,-0.01350329321678001,-0.01155821171805238,-0.006555394645511914,-0.007043043026417561,-0.01865229745778796
2020-01-15,-0.004285442615463486,-0.003969126548925228,0.006018436667763805,0.006476104225801027,-0.00691540658383194
2020-01-16,0.012526326939300336,0.00854991102959346,0.007615433497403679,0.01832317527974392,0.013682555037201949
2020-01-17,0.011070681766839119,-0.00703966144232826,0.02024587913808551,0.005596884978695149,0.0014060008015575054
2020-01-21,-0.006776573451178214,0.014629525206926841,0.0018453933681332746,-0.003590702775013388,-0.005375330913158338
2020-01-22,0.003569515794732192,-0.0023995494624705627,0.0010926714367835988,-0.004804759561334859,0.008751995261505385
2020-01-23,0.004815915885552302,-0.0015259112256779117,0.0005528457916079699,0.006155671624124892,0.010995149918140212
2020-01-24,-0.0028822301737266853,-0.012172426638861866,-0.012474098052318694,-0.010077077374522347,-0.009412072966759832
2020-01-27,-0.02940522249729416,-0.01788746376771222,-0.023489858191280022,-0.016723110019791432,-0.04104153142113731
2020-01-28,0.028289608266260258,0.01362436592451366,0.013110241744677564,0.019595974828153118,0.03234819921452581
2020-01-29,0.02093184821725136,0.0025630978623367717,0.004274367369750065,0.015592767199111623,-0.009799734466593546
2020-01-30,-0.0014487872791925094,0.006824489189870775,-0.001681968465310546,0.028207779757184692,0.0010995660795856121
2020-01-31,-0.044338641262165135,0.07379135586484753,-0.014763614284023618,-0.01475866967088757,-0.03815934959704881
2020-02-03,-0.0027464423576681884,-0.0022501685803328897,0.03477138519858047,0.024378804654361375,0.016495446909083222
2020-02-04,0.03301369018032063,0.022687342140775613,-0.025084191969943603,0.03291622873707989,0.028294425551678604
2020-02-05,0.008154360262305094,-0.004781236737139594,0.00044262768759728566,-0.0012213317947492586,0.01468859494122543
