Date,AAPL,AMZN,GOOGL,MSFT,NVDA
2020-01-02,72.33385467529297,94.90049743652344,67.83251953125,151.8295440673828,5.963803291320801
2020-01-03,71.63065338134766,93.74849700927734,67.47765350341797,149.9390411376953,5.868347644805908
2020-01-06,72.20142364501953,95.14399719238281,69.27620697021484,150.3265380859375,5.8929572105407715
2020-01-07,71.8618392944336,95.34300231933594,69.14239501953125,148.9559326171875,5.964301586151123
2020-01-08,73.01782989501953,94.59850311279297,69.63452911376953,151.3285369873047,5.975487232208252
2020-01-09,74.56878662109375,95.05249786376953,70.36557006835938,153.21910095214844,6.04111385345459
2020-01-10,74.73735809326172,94.15799713134766,70.82002258300781,152.51016235351562,6.073429584503174
2020-01-13,76.33409881591797,94.56500244140625,71.36865997314453,154.343994140625,6.263845920562744
2020-01-14,75.30333709716797,93.47200012207031,70.90081024169922,153.25694274902344,6.147010803222656
2020-01-15,74.98062896728516,93.10099792480469,71.32752227783203,154.24945068359375,6.104501724243164
2020-01-16,75.91986083984375,93.89700317382812,71.87071228027344,157.07579040527344,6.1880269050598145
2020-01-17,76.76034545898438,93.23600006103516,73.32579803466797,157.95492553710938,6.196727275848389
2020-01-21,76.24017333984375,94.5999984741211,73.46111297607422,157.38775634765625,6.163417816162109
2020-01-22,76.51231384277344,94.37300109863281,73.5413818359375,156.6315460205078,6.217360019683838
2020-01-23,76.88079071044922,94.22899627685547,73.58203887939453,157.59571838378906,6.2857208251953125
2020-01-24,76.6592025756836,93.08200073242188,72.66416931152344,156.0076141357422,6.226559162139893
2020-01-27,74.40502166748047,91.41699981689453,70.9572982788086,153.398681640625,5.971011638641357
2020-01-28,76.5099105834961,92.6624984741211,71.88756561279297,156.40467834472656,6.164163112640381
2020-01-29,78.11140441894531,92.9000015258789,72.19483947753906,158.8434600830078,6.103755950927734
2020-01-30,77.99823760986328,93.53399658203125,72.07341003417969,163.32408142089844,6.110467433929443
2020-01-31,74.53990173339844,100.43599700927734,71.00934600830078,160.91363525390625,5.877295970916748
2020-02-03,74.3351821899414,100.20999908447266,73.47843933105469,164.83651733398438,5.974244594573975
2020-02-04,76.78926086425781,102.4834976196289,71.63529205322266,170.26231384277344,6.143282413482666
2020-02-05,77.4154281616211,101.99349975585938,71.66699981689453,170.0543670654297,6.233518600463867
2020-02-06,78.32096099853516,102.5114974975586,73.1498794555664,173.58023071289062,6.32027530670166
2020-02-07,77.25635528564453,103.96399688720703,73.30548095703125,173.8259735107422,6.254150867462158
2020-02-10,77.62332153320312,106.69550323486328,74.77000427246094,178.3727569580078,6.537040710449219
2020-02-11,77.15495300292969,107.54000091552734,74.8393783569336,174.3459014892578,6.65934419631958
2020-02-12,78.98722076416016,108.0,75.26412200927734,174.60116577148438,6.774935245513916
2020-02-13,78.42475891113281,107.49349975585938,75.0044174194336,173.65585327148438,6.731184959411621
2020-02-14,78.44407653808594,106.74349975585938,75.26908111572266,175.2061004638672,7.203745365142822
2020-02-18,77.00770568847656,107.78350067138672,75.30426788330078,176.9832000732422,7.372286796569824
2020-02-19,78.12299346923828,108.51100158691406,75.57337188720703,177.51400756835938,7.822972774505615
2020-02-20,77.32154846191406,107.65499877929688,75.18283081054688,174.8031768798828,7.6738200187683105
2020-02-21,75.57136535644531,104.79850006103516,73.52106475830078,169.27719116210938,7.3101396560668945
2020-02-24,71.98170471191406,100.4645004272461,70.36901092529297,161.97869873046875,6.793332099914551
2020-02-25,69.54352569580078,98.63700103759766,68.70677185058594,159.30577087402344,6.514171123504639
2020-02-26,70.64674377441406,98.97949981689453,68.91242980957031,161.29627990722656,6.653378963470459
2020-02-27,66.0286865234375,94.21499633789062,65.16962432861328,149.93150329589844,6.283014297485352
2020-02-28,65.99005126953125,94.1875,66.37394714355469,153.56178283691406,6.717552661895752
2020-03-02,72.13377380371094,97.69750213623047,68.70677185058594,163.77963256835938,6.875746250152588
2020-03-03,69.84285736083984,95.44950103759766,66.2981185913086,155.931396484375,6.613580703735352
2020-03-04,73.0824966430664,98.79149627685547,68.47283172607422,161.6564483642578,7.076724529266357
2020-03-05,70.71192169189453,96.20149993896484,65.16020965576172,157.5996551513672,6.797643184661865
2020-03-06,69.7728500366211,95.05449676513672,64.21757507324219,153.14468383789062,6.617311954498291
2020-03-09,64.25438690185547,90.03050231933594,60.25520706176758,142.7657470703125,6.104920387268066
2020-03-10,68.882080078125,94.59100341796875,63.1981086730957,152.5286102294922,6.493940353393555
2020-03-11,66.4897689819336,91.04299926757812,60.012847900390625,145.61874389648438,6.130539894104004
2020-03-12,59.92359161376953,83.83049774169922,55.08900833129883,131.8085479736328,5.3803582191467285
2020-03-13,67.1029281616211,89.25,60.179874420166016,150.54759216308594,5.99050235748291
2020-03-16,58.4703483581543,84.4574966430664,53.1784553527832,128.35833740234375,4.885130882263184
2020-03-17,61.041290283203125,90.39199829101562,55.41165542602539,138.92698669433594,5.404237270355225
2020-03-18,59.54700469970703,91.5,54.079959869384766,133.07862854003906,5.0448174476623535
2020-03-19,59.09074783325195,94.04650115966797,55.09495544433594,135.2681884765625,5.29728364944458
